ExpStrain	UNC	Sanger	UNC_Sanger	NIEHS
129P2/OlaHsd		129P2	129P2/OlaHsd	129P2/OlaHsD
129S1/SvImJ		129S1	129S1/SvImJ	129S1/SvImJ
A/J		A_J	A/J	A/J
AKR/J		AKR	AKR/J	AKR/J
BALB/cJ		BALB	BALB/cJ	BALB/cJ
C57BL/6J		C57BL	C57BL/6NJ	C57BL/6J
CAST/EiJ		CAST	CAST/EiJ	CAST/Ei
CE/J	CE/J		CE/J	CE/J
C3H/HeJ		C3H		C3H/HeJ
CBA/J		CBA	CBA/J	CBA/J
DBA/2J		DBA	DBA/2J	DBA/2J
FVB/NJ	FVB/NJ		FVB/NJ	FVB/NJ
I/LnJ	I/LnJ		I/LnJ	I/LnJ
KK/HLJ	KK/HLJ		KK/HIJ	KK/HlJ
LP/J		LP_J	LP/J	LP/J
MRL/MpJ	MRL/MpJ		MRL/MpJ	MRL/MpJ
NOD/ShiLtJ		NOD	NOD/ShiLtJ	NOD/LtJ
NZB/BINJ	NZB/BINJ		NZB/BINJ	NZB/BlNJ
NZO/HlLtJ		NZO	NZO/HILtJ	NON/LtJ
PERA/EiJ				PERA/EiJ
PWD/Ph				PWD/Ph
PWK/PhJ		PWK	PWK/PhJ	PWK/PhJ
SJL/J	SJL/J		SJL/J	SJL/J
SM/J	SM/J		SM/J	SM/J
SPRET/EiJ		SPRET	SPRET/EiJ	SPRET/Ei
WSB/EiJ		WSB	WSB/EiJ	WSB/EiJ
